XYDATA,128_03,32_01,32_02,32_03,64_01,64_02,64_03,128_01,128_02,4_02,4_03,8_01,8_02,8_03,16_01,16_02,16_03,0.2_03,1_01,1_02,1_03,2_01,2_02,2_03,4_01,0.2_02,0.2_01,0.1_03,0.1_02,0.1_01
3276.1099,511.837,496.475,498.008,498.056,503.334,502.102,502.183,507.641,512.408,496.262,495.653,501.022,493.645,499.027,499.12,496.487,496.88,498.232,496.476,496.409,499.267,498.335,500.148,497.072,497.091,495.643,497.907,497.864,496.553,493.294
3277.1099,506.699,496.293,497.931,499.222,500.422,503.353,501.302,505.882,507.603,497.729,496.564,498.944,493.069,497.402,498.142,497.51,497.106,496.646,496.349,496.249,499.773,496.686,499.781,497.188,496.696,496.13,496.777,497.192,494.197,493.864
3278.1099,502.866,497.069,498.229,499.048,498.452,502.049,501.5,503.449,503.863,497.587,497.317,496.42,493.545,496.182,495.699,497.629,497.914,495.677,496.897,497.048,498.879,497.388,497.924,498.164,496.62,495.486,496.83,494.707,495.078,496.563
3279.1099,503.359,498.052,498.564,496.953,498.569,499.797,502.987,502.193,504.004,495.508,497.533,495.18,493.364,496.784,493.984,495.161,498.157,495.537,497.55,498.324,497.602,499.53,496.116,499.127,497.355,494.172,497.949,493.02,497.887,499.595
3280.1099,503.164,496.867,497.684,495.456,497.422,499.283,501.556,501.505,503.088,493.494,497.122,494.557,494.786,497.607,495.336,494.67,496.857,495.249,496.646,498.527,497.877,497.234,496.613,497.295,497.686,494.049,497.277,494.099,496.192,500.15
3281.1099,501.931,496.052,495.881,495.557,495.39,498.346,498.884,502.1,501.999,492.473,495.896,495.088,496.564,497.443,497.017,496.325,496.026,495.567,496.037,497.398,498.498,493.913,497.492,494.925,496.912,495.079,496.525,496.08,494.022,497.781
3282.1099,501.209,498.466,494.398,497.04,494.58,494.894,498.011,504.16,503.245,492.825,494.22,496.96,496.583,495.822,495.829,497.031,497.591,497.218,497.576,495.643,497.569,494.806,496.179,495.201,495.185,496.241,497.943,496.589,496.996,493.943
3283.1099,500.94,500.24,495.085,498.302,496.572,494.732,496.943,503.894,505.001,494.945,494.445,497.19,495.66,493.888,495.037,497.694,498.517,498.025,497.538,495.024,495.944,496.235,494.581,496.308,494.531,496.351,498.215,497.525,499.196,492.535
3284.1099,501.395,499.399,497.486,498.526,499.99,499.672,495.414,501.012,505.361,497.84,497.03,494.875,494.765,492.918,496.653,499.098,497.413,497.007,495.041,495.807,494.488,495.747,494.071,496.587,495.581,495.103,496.374,499.277,497.362,494.618
3285.1099,503.607,498.718,497.816,498.475,499.708,503.371,496.911,501.198,503.842,498.662,499.087,493.104,494.197,493.748,498.819,498.043,496.696,495.85,494.82,495.869,493.326,495.386,493.879,496.213,496.369,493.608,496.368,498.878,495.645,496.39
3286.1099,505.494,498.545,496.562,498.496,497.547,503.184,499.434,503.414,502.487,497.601,499.106,493.376,494.422,495.393,499.983,495.266,496.121,495.906,496.421,495.485,493.806,495.504,493.96,495.977,496.072,493.82,497.491,496.68,495.893,496.119
3287.1099,504.038,497.639,496.516,498.536,498.96,500.187,498.36,502.788,503.925,496.847,497.295,495.373,495.791,496.091,499.414,496.083,494.243,497.583,496.256,496.262,497.053,495.231,494.807,496.551,495.174,497.089,496.469,495.227,497.64,494.203
3288.1099,503.152,496.961,495.575,498.472,501.284,498.505,496.971,501.349,504.923,497.156,496.638,496.502,497.211,496.687,498.331,498.509,494.423,498.455,495.397,497.066,498.273,494.998,496.345,496.263,495.897,498.971,495.495,495.064,499.195,492.933
3289.1099,504.879,496.968,493.025,498.039,501.01,500.066,498.128,501.288,502.336,497.865,498.297,495.259,497.131,497.63,497.957,498.141,497.989,497.12,495.572,496.44,495.069,495.617,497.666,494.123,498.551,496.515,496.515,495.9,498.976,493.609
3290.1099,502.438,495.502,494.602,496.776,498.761,499.955,498.131,500.276,497.647,496.374,497.592,494.158,494.194,496.691,498.127,497.535,498.466,496.409,496.514,494.313,494.447,497.693,496.565,492.331,498.149,494.195,497,497.028,496.581,494.052
3291.1099,498.928,494.171,499.686,495.858,497.277,499.018,497.263,500.807,496.365,493.734,494.79,494.672,491.36,494.668,498.45,498.791,495.769,496.625,497.413,492.498,497.149,499.534,494.526,492.579,495.585,493.946,496.191,497.25,493.791,494.221
3292.1099,506.234,497.775,501.068,497.605,499.966,503.512,500.01,509.102,505.397,494.299,495.207,496.468,494.834,495.216,498.503,500.297,496.466,495.405,497.322,493.916,496.992,497.789,496.145,495.205,497.309,494.204,495.638,495.378,493.964,496.313
3293.1099,513.532,502.117,499.404,499.53,502.499,506.944,503.618,515.511,514.16,496.04,496.488,498.049,500.749,496.515,497.947,500.605,497.984,495.088,496.442,496.051,495.47,494.896,498.543,497.556,498.918,495.085,495.492,494.013,496.122,498.568
3294.1099,506.726,501.417,498.307,498.395,500.019,501.546,503.493,509.212,510.366,495.373,494.563,498.268,502.434,495.623,496.978,499.008,495.942,498.106,495.586,495.53,496.244,494.683,497.457,496.982,494.692,496.986,495.265,495.776,497.679,498.384
3295.1099,498.641,499.586,497.899,496.43,498.609,496.574,501.07,501.727,504.766,494.244,492.588,498.894,500.62,495.039,497.439,496.664,495.36,499.365,495.697,495.08,497.109,495.985,496.474,495.63,492.67,498.236,494.826,497.161,497.929,497.019
3296.1099,498.236,499.465,497.639,495.812,500.897,497.62,498.604,500.963,504.416,494.767,493.202,500.301,497.295,495.867,499.451,495.148,498.43,497.588,496.475,495.931,496.43,496.968,497.841,495.114,496.28,497.882,494.698,496.344,497.705,495.83
3297.1099,500.325,499.304,497.18,496.755,501.227,499.616,497.552,502.463,503.868,497.34,495.824,500.062,494.004,495.606,500.161,495.305,500.342,498.952,495.92,495.411,495.303,496.533,499.308,494.789,498.172,496.713,496.066,495.833,499.175,495.101
3298.1099,501.915,498.565,496.976,497.533,498.728,500.464,497.937,503.467,502.106,499.48,497.96,498.591,492.488,494.545,498.26,496.375,499.201,501.062,494.569,494.481,494.96,495.537,498.691,494.937,497.529,495.566,497.484,496.426,499.68,494.98
3299.1099,502.536,497.735,497.66,496.085,496.292,500.699,498.853,503.311,501.367,497.893,496.962,498.003,493.994,494.695,494.377,496.146,496.23,497.5,494.331,495.938,496.026,495.59,495.212,496.119,497.76,495.057,496.531,497.359,495.135,495.484
3300.1099,502.443,496.777,497.931,494.994,496.312,500.382,499.619,502.215,500.81,494.977,495.286,497.994,496.446,495.745,492.516,494.979,495.914,494.351,494.493,497.735,496.372,495.298,493.633,496.331,497.137,495.007,495.435,497.353,491.879,496.111
3301.1099,501.755,495.607,496.972,496.422,498.968,499.532,499.572,501.061,499.722,493.774,495.456,497.94,497.753,496.746,494.722,494.378,499.729,496.616,494.173,497.785,495.292,493.868,496.225,494.807,494.665,495.216,496.279,496.048,494.11,496.433
3302.1099,499.931,494.454,496.299,498.454,500.172,498.465,498.017,501.477,499.758,494.782,496.629,498.159,498.033,497.007,496.669,494.697,500.781,498.541,493.961,497.257,496.741,493.76,496.403,495.032,494.324,495.926,497.619,495.326,494.574,496.527
3303.1099,498.441,494.598,496.769,499.484,498.2,497.936,496.476,502.529,501.168,497.387,497.157,498.158,497.309,496.597,496.613,495.202,498.348,497.776,494.993,497.336,498.775,495.549,493.769,497.159,496.225,496.528,497.759,495.825,492.563,496.509
3304.1099,500.146,497.693,498.125,498.904,494.595,498.786,497.965,501.215,502.508,500.127,495.572,496.776,495.539,496.226,495.963,494.061,498.022,496.535,498.173,498.499,494.761,497.511,494.321,497.876,496.52,495.866,495.581,496.657,494.177,496.374
3305.1099,502.619,500.609,499.012,497.362,493.659,499.49,500.083,498.84,502.403,500.937,494.547,494.862,495.1,495.978,494.286,492.936,498.451,495.402,499.961,498.94,491.588,497.936,497.237,496.878,495.404,495.559,492.819,496.99,496.556,495.352
3306.1099,502.457,499.741,498.302,496.085,497.833,498.431,499.52,498.148,500.75,498.855,496.649,494.018,497.641,495.692,491.796,495.064,496.694,494.343,497.579,497.015,496.653,496.291,498.948,495.296,494.735,497.159,492.15,496.309,495.338,493.493
3307.1099,500.865,496.851,497.063,496.347,500.166,497.088,497.948,500.019,501.097,497.122,498.289,495.241,499.153,495.396,493.38,497.13,495.146,493.999,496.816,494.791,499.553,495.508,497.523,494.209,495.484,498.068,495.079,494.945,494.608,494.386
3308.1099,499.869,494.643,496.449,498.002,498.123,497.059,497.067,502.988,503.612,497.316,497.744,497.574,497.458,495.617,498.291,496.181,495.797,494.642,498.91,493.69,496.31,496.371,494.428,493.984,496.887,497.265,499.938,494.2,496.124,497.597
